country_region_code;country_region;sub_region_1;sub_region_2;metro_area;iso_3166_2_code;census_fips_code;place_id;date;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;15/02/2020;4;0;21;9;1;-1
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;16/02/2020;-3;2;-14;3;1;0
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;17/02/2020;0;3;8;3;3;0
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;18/02/2020;2;3;6;5;3;0
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;19/02/2020;4;3;24;8;3;-1
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;20/02/2020;6;3;24;8;2;-1
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;21/02/2020;4;6;36;11;1;-2
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;22/02/2020;4;4;47;13;0;-3
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;23/02/2020;8;5;55;16;1;-4
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;24/02/2020;18;12;80;-3;-28;3
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;25/02/2020;-2;0;33;-25;-65;16
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;26/02/2020;0;4;25;2;-13;2
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;27/02/2020;4;6;27;6;0;0
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;28/02/2020;2;10;25;6;1;-1
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;29/02/2020;0;7;-5;3;1;1
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;01/03/2020;-8;3;-33;-1;0;2
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;02/03/2020;3;9;8;4;3;0
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;03/03/2020;-1;7;-3;1;3;0
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;04/03/2020;2;7;15;5;2;0
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;05/03/2020;3;8;14;5;2;0
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;06/03/2020;0;7;14;5;2;-1
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;07/03/2020;3;4;27;7;2;-1
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;08/03/2020;-1;6;-4;1;1;0
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;09/03/2020;0;11;21;0;2;1
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;10/03/2020;0;17;20;0;1;0
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;11/03/2020;-1;26;29;-1;0;1
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;12/03/2020;-9;28;10;-11;-4;4
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;13/03/2020;-27;23;-10;-24;-11;9
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;14/03/2020;-47;-10;-31;-33;-15;13
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;15/03/2020;-62;-33;-58;-46;-23;15
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;16/03/2020;-50;-16;-40;-51;-41;22
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;17/03/2020;-54;-20;-44;-56;-48;24
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;18/03/2020;-55;-19;-38;-57;-51;24
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;19/03/2020;-67;-36;-53;-68;-57;30
PT;Portugal;;;;;;ChIJ1SZCvy0kMgsRQfBOHAlLuCo;20/03/2020;-77;-42;-70;-73;-60;36
